#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=webanno.custom.SentenceLink|referenceRelation|referenceType


#Text=Знаете это пожалуй самое недорогое и эффективное средство лечения цистита.
1-1	0-6	Знаете	_	_	_	_	
1-2	7-10	это	_	_	_	_	
1-3	11-18	пожалуй	_	_	_	_	
1-4	19-24	самое	_	_	_	_	
1-5	25-34	недорогое	_	_	_	_	
1-6	35-36	и	_	_	_	_	
1-7	37-48	эффективное	_	_	_	_	
1-8	49-57	средство	_	_	_	_	
1-9	58-65	лечения	_	_	_	_	
1-10	66-73	цистита	*	DI	_	_	
1-11	73-74	.	_	_	_	_	

#Text=В последнее время, семейные врачи предлагают своим пациентам отдавать предпочтение дешевым аналогам импортных препаратов отечественного производства.
2-1	75-76	В	_	_	_	_	
2-2	77-86	последнее	_	_	_	_	
2-3	87-92	время	_	_	_	_	
2-4	92-93	,	_	_	_	_	
2-5	94-102	семейные	_	_	_	_	
2-6	103-108	врачи	_	_	_	_	
2-7	109-119	предлагают	_	_	_	_	
2-8	120-125	своим	_	_	_	_	
2-9	126-135	пациентам	_	_	_	_	
2-10	136-144	отдавать	_	_	_	_	
2-11	145-157	предпочтение	_	_	_	_	
2-12	158-165	дешевым	_	_	_	_	
2-13	166-174	аналогам	_	_	_	_	
2-14	175-184	импортных	_	_	_	_	
2-15	185-195	препаратов	_	_	_	_	
2-16	196-210	отечественного	_	_	_	_	
2-17	211-223	производства	_	_	_	_	
2-18	223-224	.	_	_	_	_	

#Text=Поскольку на них меньше бывает подделки.
3-1	225-234	Поскольку	_	_	_	_	
3-2	235-237	на	_	_	_	_	
3-3	238-241	них	_	_	_	_	
3-4	242-248	меньше	_	_	_	_	
3-5	249-255	бывает	_	_	_	_	
3-6	256-264	подделки	_	_	_	_	
3-7	264-265	.	_	_	_	_	

#Text=Да и вообще оказывается подделывают дорогие препараты, а с дешевыми не стоит возиться за копейки.
4-1	266-268	Да	_	_	_	_	
4-2	269-270	и	_	_	_	_	
4-3	271-277	вообще	_	_	_	_	
4-4	278-289	оказывается	_	_	_	_	
4-5	290-301	подделывают	_	_	_	_	
4-6	302-309	дорогие	_	_	_	_	
4-7	310-319	препараты	_	_	_	_	
4-8	319-320	,	_	_	_	_	
4-9	321-322	а	_	_	_	_	
4-10	323-324	с	_	_	_	_	
4-11	325-333	дешевыми	_	_	_	_	
4-12	334-336	не	_	_	_	_	
4-13	337-342	стоит	_	_	_	_	
4-14	343-351	возиться	_	_	_	_	
4-15	352-354	за	_	_	_	_	
4-16	355-362	копейки	_	_	_	_	
4-17	362-363	.	_	_	_	_	

#Text=Так вот о самом нитроксолине.
5-1	364-367	Так	_	_	_	_	
5-2	368-371	вот	_	_	_	_	
5-3	372-373	о	_	_	_	_	
5-4	374-379	самом	_	_	_	_	
5-5	380-392	нитроксолине	*	Drugname	_	_	
5-6	392-393	.	_	_	_	_	

#Text=У меня были ужасные боли, даже сидеть не могла.
6-1	394-395	У	_	_	_	_	
6-2	396-400	меня	_	_	_	_	
6-3	401-405	были	_	_	_	_	
6-4	406-413	ужасные	_	_	_	_	
6-5	414-418	боли	*	DI	_	_	
6-6	418-419	,	_	_	_	_	
6-7	420-424	даже	_	_	_	_	
6-8	425-431	сидеть	*[1]	SSI[1]	_	_	
6-9	432-434	не	*[1]	SSI[1]	_	_	
6-10	435-440	могла	*[1]	SSI[1]	_	_	
6-11	440-441	.	_	_	_	_	

#Text=Диагноз - цистит.
7-1	442-449	Диагноз	_	_	_	_	
7-2	450-451	-	_	_	_	_	
7-3	452-458	цистит	*	DI	_	_	
7-4	458-459	.	_	_	_	_	

#Text=Сначала пила канефрон, не помогало.
8-1	460-467	Сначала	_	_	*->2-1	INF[2]	
8-2	468-472	пила	_	_	*->2-1	INF[2]	
8-3	473-481	канефрон	*	Drugname	*->2-1	INF[2]	
8-4	481-482	,	_	_	*->2-1	INF[2]	
8-5	483-485	не	_	_	*->2-1	INF[2]	
8-6	486-494	помогало	_	_	*->2-1	INF[2]	
8-7	494-495	.	_	_	*->2-1	INF[2]	

#Text=Затем семейный врач прописала нитроксолин.
9-1	496-501	Затем	_	_	_	_	
9-2	502-510	семейный	_	_	_	_	
9-3	511-515	врач	_	_	_	_	
9-4	516-525	прописала	_	_	_	_	
9-5	526-537	нитроксолин	*	Drugname	_	_	
9-6	537-538	.	_	_	_	_	

#Text=Буквально через день почувствовала эффект, пропила дня три-пять и все слава Богу прошло.
10-1	539-548	Буквально	_	_	*->1-1	EF[1]	
10-2	549-554	через	_	_	*->1-1	EF[1]	
10-3	555-559	день	_	_	*->1-1	EF[1]	
10-4	560-573	почувствовала	_	_	*->1-1	EF[1]	
10-5	574-580	эффект	_	_	*->1-1	EF[1]	
10-6	580-581	,	_	_	*->1-1	EF[1]	
10-7	582-589	пропила	_	_	*->1-1	EF[1]	
10-8	590-593	дня	_	_	*->1-1	EF[1]	
10-9	594-602	три-пять	_	_	*->1-1	EF[1]	
10-10	603-604	и	_	_	*->1-1	EF[1]	
10-11	605-608	все	_	_	*->1-1	EF[1]	
10-12	609-614	слава	_	_	*->1-1	EF[1]	
10-13	615-619	Богу	_	_	*->1-1	EF[1]	
10-14	620-626	прошло	_	_	*->1-1	EF[1]	
10-15	626-627	.	_	_	*->1-1	EF[1]	

#Text=После этого через какое-то время повторилось опять, я уже без рецепта врача сама пропила несколько дней эти таблетки и опять убедилась в их действии.
11-1	628-633	После	_	_	_	_	
11-2	634-639	этого	_	_	_	_	
11-3	640-645	через	_	_	_	_	
11-4	646-654	какое-то	_	_	_	_	
11-5	655-660	время	_	_	_	_	
11-6	661-672	повторилось	_	_	_	_	
11-7	673-678	опять	_	_	_	_	
11-8	678-679	,	_	_	_	_	
11-9	680-681	я	_	_	_	_	
11-10	682-685	уже	_	_	_	_	
11-11	686-689	без	_	_	_	_	
11-12	690-697	рецепта	_	_	_	_	
11-13	698-703	врача	_	_	_	_	
11-14	704-708	сама	_	_	_	_	
11-15	709-716	пропила	_	_	_	_	
11-16	717-726	несколько	_	_	_	_	
11-17	727-731	дней	_	_	_	_	
11-18	732-735	эти	_	_	_	_	
11-19	736-744	таблетки	*	Drugform	_	_	
11-20	745-746	и	_	_	_	_	
11-21	747-752	опять	_	_	_	_	
11-22	753-762	убедилась	_	_	_	_	
11-23	763-764	в	_	_	_	_	
11-24	765-767	их	_	_	_	_	
11-25	768-776	действии	_	_	_	_	
11-26	776-777	.	_	_	_	_	

#Text=Особых побочных эффектов я не обнаружила.
12-1	778-784	Особых	_	_	_	_	
12-2	785-793	побочных	_	_	_	_	
12-3	794-802	эффектов	_	_	_	_	
12-4	803-804	я	_	_	_	_	
12-5	805-807	не	_	_	_	_	
12-6	808-818	обнаружила	_	_	_	_	
12-7	818-819	.	_	_	_	_	

#Text=Да и ко всему прочему цена на них идет смешная копеечная.
13-1	820-822	Да	_	_	_	_	
13-2	823-824	и	_	_	_	_	
13-3	825-827	ко	_	_	_	_	
13-4	828-833	всему	_	_	_	_	
13-5	834-841	прочему	_	_	_	_	
13-6	842-846	цена	_	_	_	_	
13-7	847-849	на	_	_	_	_	
13-8	850-853	них	_	_	_	_	
13-9	854-858	идет	_	_	_	_	
13-10	859-866	смешная	_	_	_	_	
13-11	867-876	копеечная	_	_	_	_	
13-12	876-877	.	_	_	_	_	

#Text=Рекомендую!
14-1	878-888	Рекомендую	_	_	_	_	
14-2	888-889	!	_	_	_	_	

#Text=Общее впечатление : лучшее недорогое средство от цистита RATING 4 NOTE
15-1	890-895	Общее	_	_	_	_	
15-2	896-907	впечатление	_	_	_	_	
15-3	908-909	:	_	_	_	_	
15-4	910-916	лучшее	_	_	_	_	
15-5	917-926	недорогое	_	_	_	_	
15-6	927-935	средство	_	_	_	_	
15-7	936-938	от	_	_	_	_	
15-8	939-946	цистита	*	DI	_	_	
15-9	947-953	RATING	_	_	_	_	
15-10	954-955	4	_	_	_	_	
15-11	956-960	NOTE	_	_	_	_	
